Machine_ID,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,type_encoded,temp_difference,power_index,wear_torque_interaction,wear_speed_ratio,health_score,thermal_stress,mechanical_stress,failure_probability,status,rul_days,maintenance_priority,recommended_maintenance_date
M0024,298.386638826385,314.9226462002115,1782,63,80,1,16.536007373826465,112266,5040,0.04489337822671156,44.625,1041.7684645510672,5040,0.76049477,High Risk,13.1,Urgent,2026-07-06 16:05:49.404400
M0025,298.0651628004746,313.66379632776744,1418,27,174,1,15.598633527292861,38286,4698,0.1227080394922426,48.325,421.16310523690726,4698,6.0004946e-05,Healthy,26.4,Urgent,2026-07-19 23:17:49.404400
M0026,302.7980785052558,313.0219713773828,1728,31,109,2,10.22389287212701,53568,3379,0.0630787037037037,58.825,316.9406790359373,3379,7.188727e-05,Healthy,59.7,Scheduled,2026-08-22 06:29:49.404400
M0027,304.3481698144642,310.61160156930964,1291,56,39,2,6.263431754845442,72296,2184,0.030209140201394268,57.2,350.75217827134475,2184,0.9875079,Critical,1.1,Immediate,2026-06-24 16:05:49.404400
M0028,296.3280880546935,312.9708582501836,1777,36,108,1,16.642770195490073,63972,3888,0.06077658975801913,55.900000000000006,599.1397270376426,3888,6.572567e-05,Healthy,57.1,Scheduled,2026-08-19 16:05:49.404400
M0029,302.18300300273665,306.765729018544,1637,54,210,2,4.582726015807339,88398,11340,0.12828344532681735,24.25,247.4672048535963,11340,0.7556101,High Risk,1.7,Immediate,2026-06-25 06:29:49.404400
M0030,301.71419115567426,310.9099186775901,1324,33,124,2,9.195727521915842,43692,4092,0.09365558912386707,54.575,303.4590082232228,4092,0.0037813706,Healthy,49.3,Scheduled,2026-08-11 20:53:49.404400
M0031,301.0888657638855,306.86870419855813,1543,26,129,2,5.779838434672627,40118,3354,0.08360337005832794,57.95,150.2757993014883,3354,0.0005219909,Healthy,50.5,Scheduled,2026-08-13 01:41:49.404400
M0032,303.8380164631457,313.35375746496237,1430,21,130,1,9.51574100181665,30030,2730,0.09090909090909091,60.875,199.83056103814965,2730,0.056726526,Healthy,49.6,Scheduled,2026-08-12 04:05:49.404400
M0033,300.8374210646222,309.39564950483424,1100,75,139,0,8.55822844021202,82500,10425,0.12636363636363637,25.32499999999999,641.8671330159015,10425,0.5198133,High Risk,9.7,Urgent,2026-07-03 06:29:49.404400
M0034,301.0646166947638,313.62173185066484,1668,40,161,2,12.557115155901045,66720,6440,0.09652278177458033,42.8,502.2846062360418,6440,8.77541e-05,Healthy,27.4,Urgent,2026-07-20 23:17:49.404400
M0035,300.91765418138084,308.8193047452338,1620,44,233,2,7.901650563852968,71280,10252,0.14382716049382716,25.899999999999995,347.6726248095306,10252,0.0071913735,Healthy,3.1,Immediate,2026-06-26 16:05:49.404400
M0036,301.14305309443455,311.1300984576566,1261,44,119,2,9.987045363222023,55484,5236,0.0943695479777954,48.7,439.429995981769,5236,9.0391855e-05,Healthy,45.9,Scheduled,2026-08-08 11:17:49.404400
M0037,303.8300239636952,306.9603929819327,1690,79,233,1,3.130369018237502,133510,18407,0.1378698224852071,4.024999999999999,247.29915244076267,18407,0.99656963,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0038,301.6306081101745,311.3374147716159,1675,35,22,1,9.70680666144142,58625,770,0.013134328358208954,73.725,339.7382331504497,770,1.7974775e-05,Healthy,121.0,Normal,2026-10-22 13:41:49.404400
M0039,297.55633900578755,311.19758022520494,1280,57,107,2,13.641241219417395,72960,6099,0.08359375,42.974999999999994,777.5507495067916,6099,0.00011019375,Healthy,44.2,Scheduled,2026-08-06 18:29:49.404400
M0040,300.57340527657135,309.1606426583963,1296,51,94,2,8.587237381824934,66096,4794,0.07253086419753087,49.325,437.94910647307165,4794,0.9089913,Critical,5.0,Immediate,2026-06-28 13:41:49.404400
M0041,302.27813158734926,308.2013864510698,1589,65,71,1,5.923254863720558,103285,4615,0.0446821900566394,45.175,385.0115661418363,4615,0.4651764,Warning,31.1,Scheduled,2026-07-24 16:05:49.404400
M0042,297.94132505408385,309.3428058800782,1671,28,112,2,11.401480825994327,46788,3136,0.06702573309395571,60.099999999999994,319.24146312784114,3136,4.6802048e-05,Healthy,59.7,Scheduled,2026-08-22 06:29:49.404400
M0043,297.3966888550711,310.7431616484452,1214,36,232,2,13.346472793374119,43704,8352,0.19110378912685339,31.099999999999994,480.4730205614683,8352,0.014708091,Healthy,4.0,Immediate,2026-06-27 13:41:49.404400
M0044,299.1285457908333,310.4291454118493,1247,60,115,1,11.300599621015976,74820,6900,0.09222133119486768,39.5,678.0359772609586,6900,0.00020612488,Healthy,38.4,Scheduled,2026-07-31 23:17:49.404400
M0045,304.5594891315533,310.9849586587016,1370,68,239,0,6.425469527148323,93160,16252,0.17445255474452553,9.700000000000003,436.93192784608596,16252,0.9984675,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0046,299.16113441903485,312.01677569440943,1121,29,118,2,12.85564127537458,32509,3422,0.10526315789473684,58.275000000000006,372.81359698586283,3422,0.016067602,Healthy,54.5,Scheduled,2026-08-17 01:41:49.404400
M0047,299.4004365164981,310.67490397871705,1601,30,116,1,11.274467462218979,48030,3480,0.07245471580262336,58.05,338.2340238665694,3480,0.00035744876,Healthy,56.0,Scheduled,2026-08-18 13:41:49.404400
M0048,301.19512359663935,312.56604139746577,1776,31,60,0,11.370917800826419,55056,1860,0.033783783783783786,68.625,352.498451825619,1860,1.4602627e-05,Healthy,93.9,Normal,2026-09-25 11:17:49.404400
M0049,296.6989168591464,309.512523161162,1626,20,213,0,12.813606302015614,32520,4260,0.13099630996309963,44.9,256.2721260403123,4260,0.4290525,Warning,6.8,Immediate,2026-06-30 08:53:49.404400
M0050,297.7688993262953,310.3254861643405,1658,54,10,0,12.556586838045178,89532,540,0.006031363088057901,64.25,678.0556892544396,540,0.3080458,Warning,76.8,Normal,2026-09-08 08:53:49.404400
M0051,299.6072682270762,310.0431858211483,1144,22,68,1,10.435917594072123,25168,1496,0.05944055944055944,72.65,229.5901870695867,1496,0.11454484,Healthy,84.3,Normal,2026-09-15 20:53:49.404400
M0052,300.6595617305556,309.1645558763067,1229,72,182,1,8.504994145751084,88488,13104,0.14808787632221318,18.6,612.359578494078,13104,0.9987833,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0053,296.87687651296517,307.9024271852181,1319,29,33,2,11.025550672252905,38251,957,0.025018953752843062,75.275,319.74096949533424,957,0.0010417288,Healthy,117.5,Normal,2026-10-19 01:41:49.404400
M0054,301.305881888418,308.89477946740647,1442,78,13,0,7.588897578988451,112476,1014,0.009015256588072122,48.650000000000006,591.9340111610992,1014,0.94452477,Critical,4.6,Immediate,2026-06-28 04:05:49.404400
M0055,297.69840046342426,308.96600548632097,1393,75,83,0,11.267605022896703,104475,6225,0.05958363244795405,36.525000000000006,845.0703767172527,6225,0.95807034,Critical,1.8,Immediate,2026-06-25 08:53:49.404400
M0056,301.07380940954334,311.7888321850704,1783,20,219,2,10.715022775527075,35660,4380,0.12282669657879977,43.7,214.3004555105415,4380,0.05860247,Healthy,9.2,Urgent,2026-07-02 18:29:49.404400
M0057,300.36817994055406,310.51615837841484,1251,79,132,2,10.147978437860786,98829,10428,0.10551558752997602,24.224999999999994,801.6902965910022,10428,0.837132,Critical,3.4,Immediate,2026-06-26 23:17:49.404400
M0058,300.6780625725494,309.32173332165956,1716,23,56,1,8.643670749110186,39468,1288,0.03263403263403263,74.425,198.80442722953427,1288,2.0598694e-05,Healthy,104.0,Normal,2026-10-05 13:41:49.404400
M0059,297.80665231656957,309.97999213275943,1676,20,194,1,12.173339816189866,33520,3880,0.11575178997613365,48.699999999999996,243.46679632379733,3880,0.51004696,High Risk,9.6,Urgent,2026-07-03 04:05:49.404400
M0060,299.7768112208554,310.7614249804075,1103,64,72,2,10.984613759552133,70592,4608,0.06527651858567543,45.599999999999994,703.0152806113365,4608,0.003128734,Healthy,58.3,Scheduled,2026-08-20 20:53:49.404400
M0061,298.16068572069463,314.13142842406023,1409,21,234,0,15.970742703365602,29589,4914,0.1660752306600426,40.074999999999996,335.38559677067764,4914,0.44134337,Warning,2.6,Immediate,2026-06-26 04:05:49.404400
M0062,303.54015341936645,309.2292637077074,1311,72,233,2,5.689110288340942,94392,16776,0.17772692601067888,8.399999999999999,409.6159407605478,16776,0.99594766,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0063,301.42357512099557,311.3761194844697,1196,47,24,2,9.952544363474146,56212,1128,0.020066889632107024,65.825,467.7695850832849,1128,0.00015818805,Healthy,107.1,Normal,2026-10-08 16:05:49.404400
M0064,298.67208010558704,310.5162977962758,1357,23,168,2,11.844217690688765,31211,3864,0.12380250552689757,52.025000000000006,272.4170068858416,3864,0.05121223,Healthy,29.1,Urgent,2026-07-22 16:05:49.404400
M0065,297.80615845592905,313.4099687152784,1249,47,39,0,15.603810259349359,58703,1833,0.03122497998398719,62.825,733.3790821894199,1833,0.00063192396,Healthy,95.4,Normal,2026-09-26 23:17:49.404400
M0066,299.3987892898177,308.72707458329546,1644,75,249,2,9.328285293477734,123300,18675,0.15145985401459855,3.325000000000003,699.62139701083,18675,0.9848529,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0067,306.2298649220658,311.34959414029544,1138,47,25,1,5.119729218229622,53486,1175,0.021968365553602813,65.625,240.62727325679225,1175,0.9676568,Critical,3.4,Immediate,2026-06-26 23:17:49.404400
M0068,297.9074673365952,306.8457923140885,1737,40,8,0,8.938324977493323,69480,320,0.004605641911341394,73.4,357.53299909973293,320,5.4114556e-05,Healthy,127.9,Normal,2026-10-29 11:17:49.404400
M0069,300.20225121611867,311.8930852328404,1446,76,175,0,11.690834016721737,109896,13300,0.12102351313969571,17.5,888.503385270852,13300,0.98451126,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0070,300.4857285165277,307.2954271554246,1445,38,222,0,6.8096986388969185,54910,8436,0.15363321799307958,31.85,258.7685482780829,8436,0.22014998,Warning,5.0,Immediate,2026-06-28 13:41:49.404400
M0071,300.98345108828164,304.90454198895503,1619,27,180,2,3.9210909006733914,43713,4860,0.11117974058060531,47.125,105.86945431818157,4860,0.0033240449,Healthy,23.7,Urgent,2026-07-17 06:29:49.404400
M0072,303.72668241147977,310.86535187108257,1787,39,127,1,7.138669459602795,69693,4953,0.0710688304420817,50.224999999999994,278.408108924509,4953,0.0012198606,Healthy,44.4,Scheduled,2026-08-06 23:17:49.404400
M0073,298.4357674563192,309.94759013457224,1199,56,81,2,11.511822678253054,67144,4536,0.06755629691409508,48.8,644.662069982171,4536,0.00010058827,Healthy,59.4,Scheduled,2026-08-21 23:17:49.404400
M0074,297.12420315839336,310.12783913698746,1733,36,114,2,13.003635978594104,62388,4104,0.06578188113098672,54.7,468.13089522938776,4104,2.1280379e-05,Healthy,53.6,Scheduled,2026-08-16 04:05:49.404400
M0075,301.00094418282134,310.5509927922353,1239,33,241,0,9.550048609413977,40887,7953,0.19451170298627926,31.175000000000004,315.15160411066125,7953,0.12822396,Healthy,1.8,Immediate,2026-06-25 08:53:49.404400
M0076,298.117549702578,311.49674468760765,1598,79,168,2,13.379194985029642,126242,13272,0.10513141426783479,17.025000000000006,1056.9564038173417,13272,0.95519274,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0077,298.56088719462815,308.16032156019105,1440,22,118,2,9.5994343655629,31680,2596,0.08194444444444444,62.650000000000006,211.1875560423838,2596,0.37988535,Warning,36.9,Scheduled,2026-07-30 11:17:49.404400
M0078,300.80285089440144,309.96588541732706,1484,77,135,1,9.163034522925614,114268,10395,0.09097035040431267,24.875,705.5536582652722,10395,0.9930748,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0079,303.07798255344557,308.9092295989567,1453,26,180,0,5.831247045511134,37778,4680,0.12388162422573985,47.75,151.61242318328948,4680,0.00022854372,Healthy,24.1,Urgent,2026-07-17 16:05:49.404400
M0080,299.604997966652,308.7473372026437,1167,38,158,1,9.142339235991699,44346,6004,0.1353898886032562,44.650000000000006,347.40889096768456,6004,0.0012512113,Healthy,29.5,Urgent,2026-07-23 01:41:49.404400
M0081,301.5117297277146,313.0383695201421,1177,25,54,1,11.526639792427488,29425,1350,0.045879354290569246,73.575,288.1659948106872,1350,0.0110625625,Healthy,102.7,Normal,2026-10-04 06:29:49.404400
M0082,298.6702695967334,309.9799980965015,1594,70,223,2,11.309728499768084,111580,15610,0.1398996235884567,11.649999999999999,791.6809949837659,15610,0.97560877,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0083,299.8683119106697,306.82699286688774,1194,78,44,2,6.958680956218018,93132,3432,0.03685092127303183,42.45,542.7771145850054,3432,0.99883777,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0084,297.198027588364,311.54695202414234,1519,27,180,0,14.348924435778315,41013,4860,0.1184990125082291,47.125,387.4209597660145,4860,8.151271e-05,Healthy,23.7,Urgent,2026-07-17 06:29:49.404400
M0085,300.39240593661486,308.5946555052085,1262,36,225,2,8.20224956859363,45432,8100,0.17828843106180667,32.5,295.28098446937065,8100,0.8363586,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0086,300.5296337868383,311.7610377252621,1313,62,3,2,11.231403938423796,81406,186,0.002284843869002285,60.650000000000006,696.3470441822753,186,0.0029270214,Healthy,107.5,Normal,2026-10-09 01:41:49.404400
M0087,301.354438988457,313.4324549495475,1718,25,138,2,12.0780159610905,42950,3450,0.08032596041909197,56.775000000000006,301.9503990272625,3450,3.3273765e-05,Healthy,45.8,Scheduled,2026-08-08 08:53:49.404400
M0088,298.86819712827844,310.2811093700518,1556,74,152,1,11.41291224177337,115144,11248,0.09768637532133675,23.349999999999994,844.5555058912294,11248,0.9841182,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0089,297.87153760262584,311.1600466437368,1723,41,210,0,13.288509041110956,70643,8610,0.12188044109112015,32.375,544.8288706855492,8610,0.00040524645,Healthy,9.3,Urgent,2026-07-02 20:53:49.404400
M0090,299.16888193961734,309.50948853504525,1510,47,27,1,10.340606595427914,70970,1269,0.017880794701986755,65.225,486.00850998511197,1269,7.60501e-05,Healthy,104.7,Normal,2026-10-06 06:29:49.404400
M0091,303.1304994894765,311.7787580723385,1699,58,197,1,8.648258582862013,98542,11426,0.11595055915244261,24.35,501.59899780599676,11426,0.95738804,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0092,301.89664793907866,311.34124750595083,1666,59,186,2,9.44459956687217,98294,10974,0.11164465786314526,25.924999999999997,557.2313744454581,10974,0.9565894,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0093,300.1308473952858,311.21862285220493,1586,70,206,1,11.087775456919132,111020,14420,0.12988650693568726,15.050000000000004,776.1442819843393,14420,0.99609584,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0094,302.02141386240646,309.3494200001209,1533,72,93,1,7.328006137714453,110376,6696,0.060665362035225046,36.400000000000006,527.6164419154406,6696,0.9108444,Critical,3.7,Immediate,2026-06-27 06:29:49.404400
M0095,300.33085307086395,310.06279492458526,1411,38,48,2,9.73194185372131,53618,1824,0.03401842664776754,66.65,369.81379044140976,1824,5.6963567e-05,Healthy,96.9,Normal,2026-09-28 11:17:49.404400
M0096,302.0426575478237,313.9958594395943,1514,30,186,2,11.953201891770618,45420,5580,0.12285336856010567,44.05,358.59605675311855,5580,0.00015702189,Healthy,20.3,Urgent,2026-07-13 20:53:49.404400
M0097,299.78641573416155,311.4491373891274,1782,63,201,0,11.662721654965821,112266,12663,0.1127946127946128,20.424999999999997,734.7514642628468,12663,0.9510929,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0098,301.327225368959,311.90676706548237,1257,26,23,0,10.579541696523393,32682,598,0.018297533810660304,79.15,275.0680841096082,598,0.0128639415,Healthy,127.7,Normal,2026-10-29 06:29:49.404400
M0099,298.5340356707468,308.7285433472894,1665,36,179,0,10.194507676542628,59940,6444,0.10750750750750751,41.7,367.0022763555346,6444,0.00014403705,Healthy,21.3,Urgent,2026-07-14 20:53:49.404400
M0100,300.8001303463995,308.7507522088834,1380,62,19,2,7.950621862483899,85560,1178,0.013768115942028985,57.45,492.93855547400176,1178,0.553098,High Risk,42.7,Scheduled,2026-08-05 06:29:49.404400
M0101,300.0489796823703,310.9246587063028,1315,40,227,0,10.875679023932491,52600,9080,0.1726235741444867,29.6,435.02716095729966,9080,0.052848928,Healthy,4.6,Immediate,2026-06-28 04:05:49.404400
M0102,297.32774093248844,312.61919722216027,1521,45,126,0,15.291456289671828,68445,5670,0.08284023668639054,46.675,688.1155330352323,5670,3.843521e-05,Healthy,41.7,Scheduled,2026-08-04 06:29:49.404400
M0103,300.9332407991791,315.37487371469103,1482,58,36,0,14.441632915511946,85956,2088,0.024291497975708502,56.55,837.6147090996928,2088,0.1899533,Healthy,70.6,Normal,2026-09-02 04:05:49.404400
M0104,298.32840146473166,310.10731331172815,1784,47,205,0,11.778911846996493,83848,9635,0.11491031390134529,29.625,553.6088568088352,9635,0.000391991,Healthy,9.6,Urgent,2026-07-03 04:05:49.404400
M0105,302.4237210557892,308.84440074059427,1588,40,103,0,6.420679684805066,63520,4120,0.06486146095717885,54.400000000000006,256.82718739220263,4120,4.495778e-05,Healthy,57.6,Scheduled,2026-08-20 04:05:49.404400
M0106,297.0164178507716,310.4111234091966,1228,74,129,0,13.394705558425017,90872,9546,0.10504885993485343,27.950000000000003,991.2082113234512,9546,0.4929301,Warning,12.3,Urgent,2026-07-05 20:53:49.404400
M0107,299.7383641409055,310.6450085806633,1207,49,95,2,10.90664443975777,59143,4655,0.07870753935376967,50.375,534.4255775481307,4655,0.00037150638,Healthy,56.2,Scheduled,2026-08-18 18:29:49.404400
M0108,300.5535946932864,312.45032216976483,1704,40,165,1,11.896727476478418,68160,6600,0.09683098591549295,42.0,475.8690990591367,6600,1.4595094e-05,Healthy,25.7,Urgent,2026-07-19 06:29:49.404400
M0109,300.1511400539372,305.3827416166981,1717,35,1,2,5.231601562760943,60095,35,0.0005824111822947001,77.925,183.106054696633,35,0.0008452865,Healthy,139.6,Normal,2026-11-10 04:05:49.404400
M0110,296.2855647926996,313.2529447536084,1543,36,158,0,16.96737996090883,55548,5688,0.10239792611795204,45.900000000000006,610.8256785927178,5688,3.6093126e-05,Healthy,30.4,Scheduled,2026-07-23 23:17:49.404400
M0111,298.8057937672213,313.07727189035893,1287,77,43,1,14.271478123137626,99099,3311,0.03341103341103341,43.275000000000006,1098.9038154815971,3311,0.9559772,Critical,2.8,Immediate,2026-06-26 08:53:49.404400
M0112,298.9955034126358,309.5856094257417,1247,32,42,1,10.590106013105924,39904,1344,0.03368083400160385,71.6,338.88339241938957,1344,0.000546278,Healthy,107.2,Normal,2026-10-08 18:29:49.404400
M0113,296.7280594968681,310.6535303429365,1360,37,169,2,13.925470846068379,50320,6253,0.12426470588235294,43.07499999999999,515.24242130453,6253,6.106065e-05,Healthy,25.1,Urgent,2026-07-18 16:05:49.404400
M0114,295.3629417102657,312.5048198312025,1786,44,145,1,17.14187812093678,78584,6380,0.08118701007838745,43.5,754.2426373212184,6380,7.115193e-05,Healthy,32.9,Scheduled,2026-07-26 11:17:49.404400
M0115,298.73523392877394,307.4438320330371,1104,75,44,2,8.70859810426316,82800,3300,0.03985507246376811,44.325,653.144857819737,3300,0.024188442,Healthy,64.2,Normal,2026-08-26 18:29:49.404400
M0116,299.4708514524636,308.22246218587503,1333,23,223,0,8.75161073341144,30659,5129,0.16729182295573894,41.025,201.2870468684631,5129,0.30942798,Warning,5.5,Immediate,2026-06-29 01:41:49.404400
M0117,301.26147077338027,310.3772188323459,1746,58,72,1,9.115748058965607,101268,4176,0.041237113402061855,49.349999999999994,528.7133874200052,4176,0.38251266,Warning,39.1,Scheduled,2026-08-01 16:05:49.404400
M0118,298.9660615050829,310.61544050204674,1111,27,180,0,11.649378996963833,29997,4860,0.162016201620162,47.125,314.5332329180235,4860,0.026051454,Healthy,23.1,Urgent,2026-07-16 16:05:49.404400
M0119,300.7256886076935,311.31704253802354,1259,46,51,0,10.591353930330058,57914,2346,0.04050833995234313,61.05,487.2022807951827,2346,0.00011460593,Healthy,87.5,Normal,2026-09-19 01:41:49.404400
M0120,297.9104033644682,308.0230112831616,1310,43,69,2,10.112607918693413,56330,2967,0.05267175572519084,59.325,434.8421405038168,2967,6.536415e-05,Healthy,77.3,Normal,2026-09-08 20:53:49.404400
M0121,301.7179798478057,309.2577183212015,1267,34,137,2,7.539738473395801,43078,4658,0.10812943962115233,51.349999999999994,256.3511080954572,4658,0.90133214,Critical,4.1,Immediate,2026-06-27 16:05:49.404400
M0122,297.6151912825517,312.7726739640678,1737,37,4,1,15.157482681516115,64269,148,0.002302820955670697,76.075,560.8268592160962,148,6.17498e-05,Healthy,134.7,Normal,2026-11-05 06:29:49.404400
M0123,302.49643832756004,308.9519508962206,1233,45,146,2,6.455512568660538,55485,6570,0.11841038118410381,42.675,290.4980655897242,6570,0.98982567,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0124,298.91810127722255,311.25259117069106,1156,27,127,2,12.334489893468515,31212,3429,0.10986159169550173,57.724999999999994,333.0312271236499,3429,0.00920739,Healthy,50.7,Scheduled,2026-08-13 06:29:49.404400
M0125,302.74522713849404,309.22630264271424,1747,25,235,0,6.4810755042202,43675,5875,0.1345163136805953,37.375,162.026887605505,5875,0.0075013028,Healthy,4.0,Immediate,2026-06-27 13:41:49.404400
M0126,305.37198274951106,309.23080956692513,1276,69,204,2,3.8588268174140694,88044,14076,0.15987460815047022,16.075000000000003,266.2590504015708,14076,0.99187136,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0127,303.08831483976377,307.38095580639396,1166,37,104,0,4.292640966630188,43142,3848,0.08919382504288165,56.075,158.82771576531695,3848,0.8932401,Critical,6.3,Immediate,2026-06-29 20:53:49.404400
M0128,303.6224503119516,307.4567185520594,1311,48,80,2,3.8342682401078036,62928,3840,0.06102212051868802,54.0,184.04487552517458,3840,0.97951186,Critical,1.4,Immediate,2026-06-24 23:17:49.404400
M0129,300.47782962709306,312.1089237326645,1447,53,225,1,11.631094105571435,76691,11925,0.15549412577747063,21.875,616.4479875952861,11925,0.9912298,Critical,1.0,Immediate,2026-06-24 13:41:49.404400
M0130,299.1788697418702,311.3195408670024,1600,40,0,1,12.1406711251322,64000,0,0.0,75.0,485.62684500528803,0,1.3366228e-05,Healthy,135.0,Normal,2026-11-05 13:41:49.404400
